route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
79A,KES_AR_2019_K38,5866824930,Tampere,1,79011,1428286980010,0
79A,KES_AR_2019_K38,5866734930,Siuro ,0,79011,1428100148698,0
79A,KES_AR_2019_K38,5866844930,Tampere,1,79011,1428286980010,0
79B,KES_AR_2019_K38,5866744930,Linnavuori ,0,79011,1429100148690,0
79B,KES_AR_2019_K38,5866854930,Nokian asema D,1,79011,1429286908520,0
79A,KES_AR_2019_K38,5866754930,Siuro ,0,79011,1428185228698,0
79A,KES_AR_2019_K38,5866864930,Nokian asema D,1,79011,1428286988520,0
79B,KES_AR_2019_K38,5866764930,Linnavuori ,0,79011,1429185228690,0
79B,KES_AR_2019_K38,5866874930,Nokian asema D,1,79011,1429286908520,0
79A,KES_AR_2019_K38,5866774930,Siuro ,0,79011,1428185228698,0
79B,KES_AR_2019_K38,5866644930,Nokian asema D,1,79021,1429286908520,0
79A,KES_AR_2019_K38,5866784930,Siuro ,0,79021,1428185228698,0
79A,KES_AR_2019_K38,5866894930,Tampere,1,79021,1428286980010,0
79B,KES_AR_2019_K38,5866684930,Linnavuori ,0,79021,1429100148690,0
79B,KES_AR_2019_K38,5866664930,Tampere,1,79021,1429286900010,0
79A,KES_AR_2019_K38,5866884930,Siuro ,0,79021,1428100148698,0
79A,KES_AR_2019_K38,5866804930,Nokian asema D,1,79021,1428286988520,0
79B,KES_AR_2019_K38,5866914930,Linnavuori ,0,79021,1429185228690,0
79B,KES_AR_2019_K38,5866924930,Nokian asema D,1,79021,1429286908520,0
79A,KES_AR_2019_K38,5866934930,Siuro ,0,79021,1428185228698,0
79A,KES_AR_2019_K38,5866944930,Nokian asema D,1,79021,1428286988520,0
79B,KES_AR_2019_K38,5866954930,Linnavuori ,0,79021,1429185228690,0
79B,KES_AR_2019_K38,5866674930,Nokian asema D,1,79021,1429286908520,0
79B,KES_AR_2019_K38,5866704930,Linnavuori ,0,79021,1429185228690,0
79B,KES_AR_2019_K38,5866814930,Tampere,1,79021,1429286900010,0
79B,KES_AR_2019_K38,5866724930,Linnavuori ,0,79021,1429100148690,0
79B,KES_AR_2019_K38,5866834930,Nokian asema D,1,79021,1429286908520,0
79B,KES_AR_2019_K38,5867084930,Linnavuori ,0,79021,1429185228690,0
21,KES_AR_2019_K42,5964304941,Turtola,1,21011,1157215323563,0
21,KES_AR_2019_K42,5963984941,Tesoma,0,21011,1157135631533,0
21,KES_AR_2019_K42,5964354941,Turtola,1,21011,1157215323563,0
21,KES_AR_2019_K42,5964034941,Tesoma,0,21011,1157135631533,0
21,KES_AR_2019_K42,5964774941,Turtola,1,21011,1157215323563,0
21,KES_AR_2019_K42,5964734941,Tesoma,0,21011,1157135631533,0
21,KES_AR_2019_K42,5964444941,Turtola,1,21011,1157215323563,0
21,KES_AR_2019_K42,5964124941,Tesoma,0,21011,1157135631533,0
21,KES_AR_2019_K42,5964494941,Turtola,1,21011,1157215323563,0
21,KES_AR_2019_K42,5964644941,Tesoma,0,21011,1157135631533,0
21,KES_AR_2019_K42,5963934941,Keskustori D,0,21021,1157135630015,0
21,KES_AR_2019_K42,5964874941,Tesoma,0,21021,1157100151533,0
21,KES_AR_2019_K42,5964294941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5963974941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964674941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964704941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964384941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964064941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964434941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964614941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964814941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964154941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964524941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964204941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964574941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964254941,Tesoma,0,21021,1157135631533,0
21,KES_AR_2019_K42,5964864941,Turtola,1,21021,1157215323563,0
21,KES_AR_2019_K42,5964654941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5963954941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964664941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964694941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964364941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964044941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964414941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964094941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964804941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964134941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964504941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964184941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964554941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964234941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5964594941,Turtola,1,21031,1157215323563,0
21,KES_AR_2019_K42,5964274941,Tesoma,0,21031,1157135631533,0
21,KES_AR_2019_K42,5963964941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964334941,Turtola,1,21041,1157215323563,0
21,KES_AR_2019_K42,5964014941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964764941,Turtola,1,21041,1157215323563,0
